[13:11:21:557] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:618] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:681] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:743] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:804] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:867] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:929] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:21:990] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:053] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:115] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:176] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:239] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:300] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:363] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:425] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:486] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:549] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:611] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:672] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:735] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:797] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:860] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:921] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:22:983] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:044] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:107] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:169] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:231] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:292] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:355] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:417] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:479] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:541] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:603] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:665] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:727] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:789] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:850] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:913] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:23:975] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:036] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:099] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:160] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:223] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:284] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:347] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:409] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:471] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:532] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:594] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:657] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:718] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
[13:11:24:781] [452076:0006e5ef] [ERROR][com.freerdp.server.shadow.x11] - [x11_shadow_error_handler_for_capture]: X11 error: BadMatch (invalid parameter attributes) Error code: 8, request code: 49, minor code: 0
